Seasons,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,GIDP
1,21,45,4,8,1,0,1,2.0,0.0,1,6.0,1.0,0.0,1.0,0.0,1.0
1,121,418,38,83,8,6,3,30.0,1.0,56,84.0,0.0,2.0,3.0,3.0,3.0
1,22,92,9,15,2,0,0,10.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0
7,168,741,106,188,19,8,1,70.0,10.0,5,20.0,0.0,0.0,0.0,0.0,4.0
1,6,21,5,3,0,0,0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1.0
13,1541,5032,811,1281,216,53,256,796.0,84.0,795,1033.0,30.0,34.0,25.0,35.0,115.0
1,11,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,318,1407,236,382,44,10,2,139.0,5.0,24,44.0,0.0,0.0,0.0,0.0,6.0
3,45,76,3,9,0,0,0,1.0,0.0,2,9.0,0.0,0.0,1.0,0.0,0.0
4,49,60,15,13,0,0,0,0.0,4.0,15,9.0,0.0,0.0,3.0,0.0,0.0
3,65,165,19,38,7,0,4,15.0,2.0,29,48.0,2.0,1.0,3.0,2.0,1.0
13,646,2483,363,706,107,27,15,197.0,56.0,214,150.0,0.0,5.0,35.0,0.0,4.0
7,254,4,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,2.0,0.0,1.0
8,210,4,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,1.0
3,102,285,32,77,13,6,3,46.0,7.0,25,40.0,0.0,3.0,11.0,0.0,0.0
13,440,1186,161,278,70,13,23,116.0,26.0,117,307.0,1.0,3.0,9.0,11.0,28.0
19,1236,3330,390,846,138,25,36,296.0,128.0,250,636.0,24.0,6.0,44.0,29.0,53.0
1,12,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
3,55,133,18,31,7,0,2,14.0,3.0,8,29.0,0.0,1.0,2.0,0.0,5.0
4,50,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
3,19,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,114,9,0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0
